板块,"目的
（Objective）","目标
（Goal）","策略
（Strategy）","衡量
（Measurement）","计划（P）
符合SMART原则 
什么是SMART？
S（Specific）具体
M（Measurable）可衡量
A（Achievable）可实现
R（Relevant）相关性
T（Time-bound）时间限制

时间+具体计划内容+目标单量",落地店铺,责任人,7.1--7.8 (进度25.81%）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,完成情况（D）——过程及结果,状态,检查（C）——经验/教训,下一步计划,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务维度,达成商品销售目标,"飞机杯目标：980000
* 6月现状：899951.55
目标增幅+8.89%
", 通过对产品结构优化调整和核心类目策略执行，实现全站销售额增长,"飞机杯目标：750000
* 6月现状：514262.85
目标增幅+45.83%（+23.6W）","1. 7/8前完成飞机杯+增大器全类目结构盘点（爆/头/腰）
-价位段结构（款数&利润）盘点-两个月为周期，结构补充或轮换
-输出客单价策略
2. 每周2次核心SKU监控（100%覆盖）
-每周四固定盘点
3. 6/31前输出增长SKU≥10款（单款≥20单）
*SKU见渠道投流清单-商品补充优化+新品清单@刘玉辉",AC-US,刘玉辉,"截至7/8
飞机杯完成销售额16W，完成率21.36%, 进度滞后-4.45%；
预估全月完成率80.1%；",滞后,"动作：
1. 7/7类目偏差优化+核心单品动作：
类目页面排序优化策略：飞机杯目前核心出单品页面前置曝光，扩大核心单品流量+核心出单价位段50-80产品穿插排序
核心单品：K0101042-D1,100125651#1,100176391-D1,100195354#4,100176391#1,100176381#1等

结果回收：环比上一时间段
类目动销SKU提升4.08%（49-51），整体销量环比下滑21.62%（111-87）
下滑分析：
核心下滑SKU：100176381#1下滑7单(15-8)；100176391-D1下滑3单（11-8）从核心下滑SKU来看并非受排序影响，因这几款仍占据核心页面曝光位置
下滑主要原因受渠道下滑：
信息流渠道下滑27.45%（51-37）
SEO下滑25%（20-15）
Email下滑33.33%（18-12）

2. 7/7SKU调价
","1. 跟进占据核心曝光位置SKU转化情况以及已经影响各个价位段占比SKU情况，将能承接流量转化SKU前置交叉排序，提升整体类目转化

2. 跟进头部以上上提价SKU出单情况",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"飞机杯目标：660000
* 6月现状：557464.4
目标增幅+18.39%",通过提升类目结构 &新品上新 & 潜力老品优化提升类目销售额,BV-UK,刘玉辉,"截至7/8
飞机杯完成销售额13.8W，完成20.84%, 进度滞后-4.97%；
预估全月完成率78.14%；",滞后,"核心问题：
1. 核心SKU掉队明显（多个头部/腰部目标>60的SKU完成率仅10-23%）
头部核心SKUK0101323-D2差额11单；K0101242-D1差额10单
2. 类目整体转化率偏低

动作：7/7核心下滑SKU单品动作+ 7/8主投大类目排序调整优化（与主投渠道SEM已达成共识）
1. 核心TOP核心单品不动：Y76381-1，Z76391-100，K0101043-D1，Y76391-100，K0100924-1
2. 1042截至目前仅4单动图坑位替换给Y75402-1（转化率5.88%)
3. K0101242-D1曝光位置后移到8-9位
4. 50以上价位段转化3%以上SKU, 穿插排序在类目页面1-2排（K0100847-D1，Y76204-1，Y5354-100，Y01668-1
Y75140-1，Q0100234-1）
","1. 核心SKU页面优化提升流量承接力：换图，评论文案优化
2. 类目排序调整： 看占据核心搬位SKU转化是否有效承接流量，不行就调整转化2.5%以上SKU替换排序测试
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"飞机杯目标：1070000
* 6月现状：1080849.27
目标降幅-1%",通过提升类目结构 & 专题页优化 & 潜力老品优化提升类目销售额,EU,刘玉辉,"截至7/8
飞机杯完成销售额29.2W，完成27.25%, 进度超前1.45%；
预估全月完成率102.2%；",超前,无,7.15前完成飞机杯成本率控制调整,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"飞机杯目标：980000
* 6月现状：899951.55
目标增幅+8.89%","1. 7/15前完成类目结构分层
2. 每周2次核心SKU监控
3. 输出增长SKU≥10款（单款≥20单）",BV-US,刘玉辉,"截至7/8
飞机杯完成销售额22.9W，完成23.33%, 进度滞后-2.48%；
预估全月完成率87.48%；",滞后,"截至7/8核心影响因素：
1. 本月类目整体转化率异常（异常原因）
2. 客单价偏低（目标71，截至目前差额落后2.2%）（异常原因）
动作：
1. 通过类目排序优化何理分配头部以上SKU流量占比
 7.3针对类目做整体优化排序后，转化率类目整体提升10.4%，核心下滑类目Suction Masturbators（主要因Y75888，Y75402转化下滑）
5888抢占核心曝光UV4027，转化率仅0.87%，减低占比top10前主投曝光
已沟通渠道做TOP5稳定转化SKU前置曝光，其他仍会结合价位段+转化提升趋势SKU前置穿插排序
经验：
经测试保留核心价位段SKU曝光位置，其他类似堆砌占用前面曝光位置且不出单的SKU后置，将其他高客单价核心出单SKU前置穿插排序方式有效，后续会结合根据单品转化请款及时调整
2. 客单价提升：
7/7完成核心拉低成本率SKU(2-3美金提价）
7/8完成核心低价单品5888-B1涨价+MVP方案组合包价值提升结合","1. 跟进占据核心曝光位置SKU转化情况以及已经影响各个价位段占比SKU情况，将能承接流量转化SKU前置交叉排序，提升整体类目转化
2. 跟进头部以上上提价SKU出单情况
3. 7/15前跟进核心5888-B1MVP方案组合包价值提升有效性

（只是通过曝光调整来追评销售额的话是远远不够的，需要针对你的类目转化异常原因细拆）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自营产品线,提升飞机杯类目产品转化能力,"7月自营产品5款进度监控，核心上架跟进2款
*5578升级款，K0101436-D1，K0101431-B1，100125651-B1，100176381-D2
","通过飞机杯产品验证
*5651","5651上线准确率100%
达到预计上架7月25日","发运:空运15天+上架7天
上架7月底","AC-US,BV-US,EU,BV-UK",刘锦霞,7/6 三个市场已发运,正常,海运预计到货时间8/15，预计上架时间8/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5651单量目标≥15单,,,,,未开始,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"通过飞机杯产品验证
*5578升级款","5578升级款：需要达到在10月上线
*至少达到在9月1号首次发运","7.1-7.30跟进包装+丝印+贴牌调整
","AC-US,BV-US,EU,BV-UK",刘锦霞,第三次质检未过，本产品可取消,正常,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"通过自营产品及时跟进，实现高效上线与快速增加
","核心SKU:K0101431-B1协同上线（上线准确率100%）
*上线时间7月25日
","1. 确保高准确率与按时上线
2. 强化供应链关键节点跟进，保障海外仓库存及时到位
3. 协同亚马逊与独立站，统一卖点与营销物料打造爆品
4. 提前布局多渠道营销资源，提升推广爆发力
5. 双渠道同步上架并持续进行数据优化与运营迭代",全站,刘玉辉,7/8已经完成亚马逊设计文档修改同步,正常,无,配合亚马逊运营，跟进设计需求输出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"
单量目标> 50（定位超爆）",,,刘玉辉,7/9完成亚马逊设计需求修改,未开始,未开始,"预计上架时间上线时间7月25日
7/6发海运110，预计8/15到货",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
产品结构规划,基于热销结构画像，做老品复刻和差异化新品挖掘，建立持续满足用户需求的良性产品结构扩展,提升类目结构，头部产品+2,通过历史爆品复制选品，测试筛选潜力SKU，资源聚焦爆品打造，推动产品结构优化并提升转化,"7月：超爆+爆款+头部：0+1+5
6月：超爆+爆款+头部：0+1+3

辅助指标：头部以上定位目标单量≥802单","1. 新品上新 & 潜力老品优化提升类目结构
2.  核心单品销量监控（2天为周期）：增对异常较大SKU分析并动态调整（+/-10%以内下滑或者上升）
3. 回升SKU监控，通过调整曝光位置增加流量看是否有进一步增量潜力
4. 库存预警管理与头程发运监控",BV-UK,刘锦霞,"目标：超爆+爆款+头部：0+1+5
实际：超爆+爆款+头部：0+2+1
头部以上SKU数量较预期减少3款；三款头部下滑至腰部",滞后,"爆款+1：
1、100176381#1：维持爆款定位
2、100176391-D1（头部提升至爆款），运营未做动作，自然提升。

头部-4：
1、K0101323-D2：仅维持腰部，单量落后11单。——主链接衰退，临时链接稳定。——主链接过程数据，加购率下滑严重。7/7 优化主链接页面——更换动态首图，替代0924——动作效果有效，单量&转化 &加购率均提升。

2、100176391#1：仅维持腰部，单量落后1单——运营未做动作

3、K0101242-D1：仅维持腰部，单量落后10单——月初衰退所致，7/7运营增加高清实拍图后，过程数据均有所提升。

4、100176391-D1：头部提升至爆款
5、K0101043-D1：维持头部定位","7/13:跟踪1323、1242动作效果；若6391落后差距持续拉大，则按照月初策略更换套图
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,维稳类目结构,,"7月：超爆+爆款+头部：1+4+3
6月：超爆+爆款+头部：1+4+3

辅助指标：头部以上定位目标单量≥1530单","1. 新品上新 & 潜力老品优化提升类目结构
2.  核心单品销量监控（2天为周期）：增对异常较大SKU分析并动态调整（+/-10%以内下滑或者上升）
3. 回升SKU监控，通过调整曝光位置增加流量看是否有进一步增量潜力
4. 库存预警管理与头程发运监控",EU,刘锦霞,"目标：超爆+爆款+头部：1+4+3
实际：超爆+爆款+头部：0+6+3
头部以上SKU数量较预期增加1款；",超前,"超爆-1：K0101323-D2，仅维持爆款，单量落后10单。
7/7 排查落后原因
ac-de下滑8单，直访-4，邮件-4。邮件已推未出单，再次复推&首页类目页曝光提升
sh-fr 下滑4单，sem-2，seo-1，直访-1,提升类目页曝光
ac-nl 下滑4单，sem-2，信息流-1，其他-1，提升类目页曝光

爆款+2：
K0101323-D2：超爆下滑至爆部。
K0101242-D1：头部提升至爆款。单量超前16单。——sem主投出单。
其他4款爆款维持定位
100176381#1
100176391-D1
K0101043-D1
100175888#1

头部：+1
100125242#1 ——维稳
100175402-D1 ——维稳
K0100924-D1 ：腰部提升至头部，自然回升。","K0101323-D2：
ac-de：邮件再次复推&首页类目页曝光提升
sh-fr ：提升类目页曝光
ac-nl：提升类目页曝光",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,提升类目结构，爆款+1,,"7月目标：超爆+爆品+头部：0+3+3
6月：超爆+爆品+头部：0+3+2
整体单量目标≥928
","1. 核心单品销量监控（5-7天为周期）
2.  销量跟踪：增对异常较大SKU分析并动态调整（+/-5%以内下滑或者上升）
3. 回升SKU监控，通过调整曝光位置增加流量看是否有进一步增量潜力
4. 库存预警管理与头程发运监控",BV-US,刘玉辉,"7月实际
超爆+爆品+头部：0+3+3，整体目标928，实际完成242，完成率28.06%，超前进度3.5%
爆款：
100176381#1单量目标177，实际完成41，差额-4，落后时间进度-2.64%
K0101043-D1单量目标265，实际完成72，差额+4，超前时间进度1.36%
100176391-D1单量目标169，实际完成49，差额+4，超前时间进度3.1936%
头部：
100175888-B1单量目标137，实际完成44，差额+9，超前时间进度6.31%
100125242#1单量目标90，实际完成17，差额-6，落后时间进度-6.92%
K0100924-D1单量目标90，实际完成19，差额-4，落后时间进度-4.7%",超前,无,跟进核心单品及时调整+类目排序优化维持曝光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"用户需求导向转型
",延长产品生命周期,输出平衡渠道爆款画像和用户需求导向打造方向的作图模板,通过飞机杯用户需求痛点，测试飞机杯类目标准化打造框架,"1. 7/5前完成《爆款画像×用户需求》模板
2. 选3款SKU做用户需求改造测试
3. 每款SKU完成≥2版A/B测试",7月5日前完成飞机杯用户需求打造模板优化,"AC-US,BV-US,EU,BV-UK","刘玉辉,刘锦霞",7/3 已开会同步各个店铺,正常,/,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,提升产品打造成功率3款，成功率60%（2/3）,通过用户需求导入建立用户需求驱动提升产品生命周期,"用户导入产品成功率50%
*核心看页面转化数据 

AC：测试产品跟进周期规范：渠道测试了，商品不知情未跟进，怎么优化？","单量≥32
(6月17，+88.23%）","100176290#1 腰部定位,预计在7.6完成上架
优化方向：通过用户需求调研输出客户核心需求，用户需求展现+凸显产品细节，放大功能视觉冲击展示
曝光位置：飞机杯类目页第二排曝光。
转化提升：全套图重新打造、文案优化、评论优化、搭售优化
渠道测试：SEM直投; 邮件合集推送；",BV-US,刘玉辉,100176290#1目标32，实际完成3，落后3单，落后进度-10.18%,滞后,无,"设计实际完整交付在7/9日下午，受临时事项影响未能在7/9上架
7/9完成全站上架",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"100176290#1
单量≥20单
（6月13单，+53.85）","100176290#1 腰部定位,预计在7.6完成上架
优化方向：通过用户需求调研输出客户核心需求，用户需求展现+凸显产品细节，放大功能视觉冲击展示
曝光位置：飞机杯类目页第二排曝光。
转化提升：全套图重新打造、文案优化、评论优化、搭售优化
渠道测试：信息流（TJ+EXO）直投; 邮件合集推送；",AC-US,刘玉辉,100176290#1目标20，实际完成1，落后1单，落后进度-5.81%,滞后,无,设计实际完整交付在7/9日下午，受临时事项影响未能在7/9上架，计划7/10完成优化上架,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"单量≥33单
（6月23单，+43.48%）","100176290#1
腰部定位,预计在7.6完成上架
优化方向：通过用户需求调研输出客户核心需求，用户需求展现+凸显产品细节，放大功能视觉冲击展示
曝光位置：飞机杯类目页第二排曝光。
转化提升：全套图重新打造、文案优化、评论优化、搭售优化
渠道测试：SEM直投; 邮件合集推送；",EU,刘玉辉,100176290#1目标33，实际完成7，落后2单，落后进度4.59%,滞后,无,设计实际完整交付在7/9日下午，受临时事项影响未能在7/9上架，计划7/10完成优化上架,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"单量≥15单
（6月6单，+150%）","100176290#1
腰部定位,预计在7.6完成上架
优化方向：通过用户需求调研输出客户核心需求，用户需求展现+凸显产品细节，放大功能视觉冲击展示
曝光位置：飞机杯类目页第二排曝光。
转化提升：全套图重新打造、文案优化、评论优化、搭售优化
渠道测试：SEM直投; 邮件合集推送；",BV-UK,刘玉辉,100176290#1目标15，实际完成1，落后3单，落后进度-19.14%,滞后,无,设计实际完整交付在7/9日下午，受临时事项影响未能在7/9上架，计划7/10完成优化上架,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,单量≥15单,"K0201039-D2 腰部定位, 预计在7/5完成上架
优化方向：用户需求打造：满足阳痿或想要变大用户群体，解决用户效果不确定（强度不足 + 无成长感）+训练不可控（无数据 + 无节奏 + 不科学)+体验感差（不爽 + 不方便 + 不沉浸）核心问题
曝光位置：飞机杯类目页前两排曝光。首页New版位曝光。
转化提升：全套图重新打造、文案优化、评论优化、搭售优化
渠道测试：SEM直投; 邮件合集推送；",BV-US,刘玉辉,K0201039-D2目标15，实际完成2，落后2单，落后进度-12.47%,滞后,"访问次数：182 
 加入购物车：3 
 立即购买：3 
 加购率：3.3%（较差） 
 转化率：2.11%（不算差） 
 结账成功率：100%（满分） 
 客单价：110.33（偏高） 
 跳出率：24.24%（正常） 
 停留时间：1:55（正常偏好）
总结：产品数据正常，商品在“点击→加购”阶段说服力不足，客户购买意愿偏低，
原因受产品价格影响较大","产品页面图片排序优化，增加首图吸引力
增加免增润滑+40%折扣噱头
新品评论新增
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,," K0201039-D2
单量≥15单
（6月0单）
"," K0201039-D2 腰部定位, 预计在7/5完成上架，主投邮件合集推送
优化方向：用户需求打造：满足阳痿或想要变大用户群体，解决用户效果不确定（强度不足 + 无成长感）+训练不可控（无数据 + 无节奏 + 不科学)+体验感差（不爽 + 不方便 + 不沉浸）核心问题
曝光位置：飞机杯类目页前两排曝光。首页New版位曝光。
转化提升：全套图重新打造、文案优化、评论优化、搭售优化
渠道测试：信息流（TJ+EXO）直投; 邮件合集推送；",AC-US,刘玉辉,K0201039-D2目标15，实际完成2单，落后3单，落后进度-19.14%,滞后,"客单价偏高（97），渠道未直投
邮件反馈周末会持续推送和下周再推个增大专题","1. 产品页面图片排序优化，增加首图吸引力
2. 新品评论新增
3. 邮件反馈周末会持续推送和下周再推个增大专题",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,单量≥15单," K0201039-D2 腰部定位, 预计在7/5完成上架
优化方向：用户需求打造：满足阳痿或想要变大用户群体，解决用户效果不确定（强度不足 + 无成长感）+训练不可控（无数据 + 无节奏 + 不科学)+体验感差（不爽 + 不方便 + 不沉浸）核心问题
曝光位置：飞机杯类目页前两排曝光。首页New版位曝光。
转化提升：全套图重新打造、文案优化、评论优化、搭售优化
渠道测试：SEM直投; 邮件合集推送；",EU,刘玉辉,K0201039-D2目标15，实际完成9，落后进度-28.51%,滞后,流量低及客单价偏高,7/10放置专题页曝光测试,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,单量≥15单," K0201039-D2 腰部定位, 预计在7/5完成上架
优化方向：用户需求打造：满足阳痿或想要变大用户群体，解决用户效果不确定（强度不足 + 无成长感）+训练不可控（无数据 + 无节奏 + 不科学)+体验感差（不爽 + 不方便 + 不沉浸）核心问题
曝光位置：飞机杯类目页前两排曝光。首页New版位曝光。
转化提升：全套图重新打造、文案优化、评论优化、搭售优化
渠道测试：SEM直投; 邮件合集推送；",BV-UK,刘玉辉,K0201039-D2目标15，实际完成0，落后3单，落后进度-28.51%,滞后,核心问题流量太低,"产品页面图片排序优化，增加首图吸引力
新品评论新增",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"100176381#1
单量≥114","100176381#1：预计7月3日上线，目标单量≥114(上月：94）。
优化方向：历史爆款图+用户需求导入图结合。主打多功能复合，吮吸包裹感。
用户需求图&常规套图轮换顺序测试-保留在同一套图进行排序轮换测试
曝光位置：飞机杯类目页第二排曝光。首页Bestsellers版位曝光。
转化提升：全套图重新打造、文案优化、评论优化、搭售优化
渠道测试：信息流（TJ+EXO）直投; 邮件合集推送；",AC-US,刘锦霞,截止7月8日，单量目标114单，实际完成44单，完成率38.60%，单量超前进度15单，进度偏差12.79%。,超前,"运营动作：
7/3 已换图
7/7 出单情况：信息流直投一般，其他广告组大幅出单；邮件渠道还未开始推送，今天开始推送，若邮件效果不佳——图片顺序调整，替换历史图片在前，信息流重新投放测试

分析：直投数据一般，超前原因主要出单来自其他广告组以及搭售。",7/13 观察邮件投放情况以及整体单量情况，若落后则前置之前图片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,单量≥177,"100176381#1：预计7月3日上线，目标单量≥177(上月：157）。
优化方向：历史爆款图+用户需求导入图结合。主打多功能复合，吮吸包裹感。",BV-US,刘锦霞,截止7月8日，单量目标177单，实际完成41单，完成率23.16%，单量落后进度-5单，进度偏差-2.64%。,滞后,"运营动作：
7/3 已换图
7/6 同比6月，过程数据除了结账转化率下滑12%，其他数据均提升。
环比上周，除了结账转化率下滑18%，其他数据均都在正负10以内，单量持平，变化不大，整体向好，继续观察。5号转化大幅提升至5%以上，故类目排序提升至TOP1
7/8 转化大幅下滑，下调曝光至top5


分析：换图后过程数据如图。转化由于uv激增，略微下滑，停留时间略微下滑30%，以及结账转化率下滑15%。其他过程数据均有所提升，单量大幅提升，故整体来看，换图效果为正向的。但是近2天转化和加购有所下滑，下一步优化评论。",7/10 增加5条评论,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,单量≥220,"100176381#1：预计7月3日上线，目标单量≥226(上月：186）。
优化方向：历史爆款图+用户需求导入图结合。主打多功能复合，吮吸包裹感。",BV-UK,刘锦霞,截止7月8日，单量目标220单，实际完成61单，完成率27.73%，单量超前进度4单，进度偏差1.92%。,超前,"运营动作：
7/6: 目前落后6单，临时链接稳定。主链接单量下滑。过程数据来看，加购率下滑严重，-45%。主要下滑渠道未sem和信息流，邮件端稳定。
7/7 优化主链接页面——更换动态首图，替代0924


分析：截止8号，过程数据变化如图，均在10+以内，但是结果数据单量和销售额大幅提升，20%+。初步判断换图有效，且仅三天日均8-10单。趋势向好。继续观察。但是加购率和停留时间略有下滑，还具有优化空间。",7/10 增加5条评论,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,单量≥173,"100176381#1：预计7月3日上线，目标单量≥173(上月：153）。
优化方向：历史爆款图+用户需求导入图结合。主打多功能复合，吮吸包裹感。",EU,刘锦霞,截止7月8日，单量目标173单，实际完成51单，完成率29.48%，单量超前进度6单，进度偏差3.67%。,超前,"运营动作：7/3 已换图

分析：从两个自建站的过程数据来看，加购和转化都是大幅下滑的，当前整体欧洲市场来看，为超前。页面还具有优化空间。",7/10 自建站法/德增加5条评论,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"K1101248-D3
单量≥35","K1101248-D3：预计7月3日上线，目标单量≥10(上月：0）。
优化方向：历史爆款图+用户需求导入图结合。主打扭动+多频震动双重动态刺激
曝光位置：飞机杯类目页第二排曝光。首页Bestsellers版位曝光。
转化提升：全套图重新打造、文案优化、评论优化、搭售优化
渠道测试：信息流（TJ+EXO）直投; 邮件合集推送；",AC-US,刘锦霞,截止7月8日，单量目标35单，实际完成6单，完成率17.14%，单量落后进度-3单，进度偏差-8.66%。,滞后,"运营动作：
7/1 已上架
7/2 渠道已开始投放测试
7/7 过程数据-跳出率过高——页面匹配率比较低——标题文案优化为高意图词——stamina training、endurance builder+首图替换为更直观的阳具插入使用图
加购率远低正常水平，仅0.81%，停留时间过短——页面详情页文案优化——痛点前置+解决方案
搭售调整——后庭0603增加本品引流

分析：上架后过程数据如图，结账19单，但实际本产品仅出单6单，用户不爱购买本产品，都去购买其他产品了。初步判断本套图换图失败。",找其他替代品—100175578#2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
